,OSEBuildingID,BuildingType,PrimaryPropertyType,TaxParcelIdentificationNumber,Neighborhood,Latitude,Longitude,NumberofBuildings,NumberofFloors,PropertyGFATotal,ListOfAllPropertyUseTypes,LargestPropertyUseType,SecondLargestPropertyUseType,ThirdLargestPropertyUseType,ENERGYSTARScore,SourceEUI(kBtu/sf),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),ComplianceStatus,GHGEmissionsIntensity,BuildingAge,most_use_steam,most_use_natural,most_use_electric,use_stream,use_electricity,use_natural,percent_steam,percent_natural,percent_electricity,LargestPropertyUseTypeGFA_rate,SecondLargestPropertyUseTypeGFA_rate,ThirdLargestPropertyUseTypeGFA_rate,PropertyGFABuilding(s)_rate,PropertyGFAParking_rate,GFAPerBuilding,GFAPerFloor,NumberOfAllUseTypes,TotalGHGEmissionsLog,SiteEnergyUse(kBtu)Log,Age_cat
1373,26218,NonResidential,Hospitality,6149700055,NORTHWEST,47.729,-122.34473,1.0,4,41704,Hotel,Hotel,no information,no information,73.0,97.5,0.0,969192.0,974707.0,Compliant,1.4,26,0,1,0,0,1,1,0.0,50.1418540778096,49.8581459221904,100.0,0.0,0.0,79.42,20.58,41704.0,10426.0,5,1.7746629225378223,6.2886739756180114,"(20, 30]"
1374,26235,NonResidential,Storage,6172900280,GREATER DUWAMISH,47.56683,-122.33358,1.0,2,22324,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,no information,no information,53.0,48.70000076,0.0,193898.0,394958.0,Compliant,1.0,75,0,1,0,0,1,1,0.0,67.0720855353431,32.927914464656894,94.07,0.0,0.0,100.0,0.0,22324.0,11162.0,26,1.3679147387937527,5.77000993425892,"(70, 80]"
1375,26236,NonResidential,Other,6172900300,GREATER DUWAMISH,47.5661,-122.33358,1.0,2,31360,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,no information,no information,,130.1999969,0.0,1126394.0,598714.0,Compliant,1.26,70,0,0,1,0,1,1,0.0,34.70588508081813,65.29411491918187,102.04,0.0,0.0,100.0,0.0,31360.0,15680.0,37,1.609060549930087,6.236816603855515,"(60, 70]"
1376,26237,NonResidential,Mixed Use,6172900320,GREATER DUWAMISH,47.56555,-122.33362,1.0,1,30496,"Manufacturing/Industrial Plant, Office, Retail Store",Retail Store,Manufacturing/Industrial Plant,Office,,147.1000061,0.0,1295854.0,696304.0,Compliant,1.51,69,0,0,1,0,1,1,0.0,34.95224776348061,65.04775223651939,47.04,33.68,26.27,100.0,0.0,30496.0,30496.0,52,1.6721902511882525,6.299324052276357,"(60, 70]"
1377,26254,NonResidential,Office,8804900480,EAST,47.61545,-122.3238,1.0,3,27600,"Office, Retail Store",Office,Retail Store,no information,84.0,140.3000031,0.0,961739.0,110412.0,Compliant,0.46,94,0,0,1,0,1,1,0.0,10.298176283004912,89.7018237169951,47.74,33.24,0.0,100.0,0.0,27600.0,9200.0,20,1.132579847659737,6.030256511960292,"(90, 100]"
1378,26289,NonResidential,Healthcare,9521100080,NORTHWEST,47.66312,-122.35311,1.0,2,55974,Senior Care Community,Senior Care Community,no information,no information,98.0,214.1999969,0.0,2657803.0,3477370.0,Compliant,3.63,55,0,1,0,0,1,1,0.0,56.679249305602305,43.320750694397695,100.05,0.0,0.0,100.0,0.0,55974.0,27987.0,21,2.3100770053242607,6.787826884286863,"(50, 60]"
1379,26319,SPS-District K-12,Education,4006000598,GREATER DUWAMISH,47.53074,-122.28491,1.0,2,52901,K-12 School,K-12 School,no information,no information,75.0,94.80000305,0.0,1273997.0,966345.0,Error - Correct Default Data,1.14,45,0,0,1,0,1,1,0.0,43.13381617628023,56.86618382371977,100.0,0.0,0.0,100.0,0.0,52901.0,26450.5,11,1.7867514221455612,6.3503145145857145,"(40, 50]"
1380,26324,NonResidential,Healthcare,4077800532,NORTH,47.70883,-122.28887,1.0,1,22583,Senior Care Community,Senior Care Community,no information,no information,95.0,161.0,0.0,743706.0,1237654.0,Compliant,3.14,62,0,1,0,0,1,1,0.0,62.46487261275084,37.53512738724916,100.0,0.0,0.0,100.0,0.0,22583.0,22583.0,21,1.8568496787251723,6.296963610331364,"(60, 70]"
1381,26331,NonResidential,Office,4083300310,LAKE UNION,47.66117,-122.3391,1.0,3,31686,"Food Service, Library, Office, Parking",Office,Parking,Food Service,35.0,228.5,0.0,2305643.0,0.0,Compliant,0.51,19,0,0,1,0,1,0,0.0,0.0,100.0,81.82,21.3,11.81,76.78,23.22,31686.0,10562.0,38,1.2322335211147337,6.362792345634185,"(10, 20]"
1382,26348,NonResidential,Office,4083306580,LAKE UNION,47.6483,-122.33438,1.0,3,26694,"Office, Parking",Office,Parking,no information,92.0,90.80000305,0.0,720171.0,0.0,Compliant,0.19,35,0,0,1,0,1,0,0.0,0.0,100.0,93.33,17.68,0.0,77.4,22.6,26694.0,8898.0,15,0.7795964912578245,5.857436043716445,"(30, 40]"
1383,26359,NonResidential,Storage,6300000010,NORTHWEST,47.70833,-122.34429,1.0,1,29400,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,no information,no information,69.0,28.60000038,0.0,227509.0,0.0,Compliant,0.05,44,0,0,1,0,1,0,0.0,0.0,100.0,85.03,0.0,0.0,100.0,0.0,29400.0,29400.0,26,0.4132997640812518,5.357001444891287,"(40, 50]"
1384,26379,NonResidential,Hospitality,6920700025,GREATER DUWAMISH,47.54774,-122.32091,1.0,3,22452,Hotel,Hotel,no information,no information,85.0,107.0,0.0,524385.0,719765.0,Compliant,1.87,24,0,1,0,0,1,1,0.0,57.851947112486435,42.148052887513565,100.0,0.0,0.0,100.0,0.0,22452.0,7484.0,5,1.6322547766847135,6.094873092964965,"(20, 30]"
1385,26392,NonResidential,Other,8816400105,NORTHEAST,47.66148,-122.31279,1.0,2,25767,Bank Branch,Bank Branch,no information,no information,22.0,284.7999878,0.0,1581352.0,0.0,Compliant,0.43,104,0,0,1,0,1,0,0.0,0.0,100.0,67.66,0.0,0.0,100.0,0.0,25767.0,12883.5,11,1.0799044676667207,6.199029032796177,"(100, 110]"
1386,26393,NonResidential,Retail,8816400135,NORTHEAST,47.66188,-122.31279,1.0,4,33910,"Office, Retail Store",Retail Store,Office,no information,75.0,157.3000031,0.0,1270124.0,552710.0,Compliant,1.13,63,0,0,1,0,1,1,0.0,30.32146646375918,69.67853353624082,43.01,42.65,0.0,100.0,0.0,33910.0,8477.5,20,1.5933968423002067,6.260747418381151,"(60, 70]"
1387,26396,NonResidential,Worship Facility,8816400210,NORTHEAST,47.6645,-122.31224,1.0,2,78401,"K-12 School, Office, Supermarket/Grocery Store, Worship Facility",Worship Facility,Office,K-12 School,,58.0,0.0,939974.0,1522434.0,Compliant,1.11,89,0,1,0,0,1,1,0.0,61.827040847820506,38.172959152179494,79.59,12.68,6.33,100.0,0.0,78401.0,39200.5,64,1.9465013905695876,6.391360233910573,"(80, 90]"
1388,26460,NonResidential,Storage,4083307185,LAKE UNION,47.64748,-122.33435,1.0,2,78716,"Non-Refrigerated Warehouse, Office, Other, Retail Store",Non-Refrigerated Warehouse,Office,Retail Store,38.0,152.5,0.0,3680806.0,422994.0,Compliant,0.61,37,0,0,1,0,1,1,0.0,10.307373653686827,89.69262634631318,52.44,37.35,7.98,100.0,0.0,78716.0,39358.0,55,1.6913467641348219,6.6131863723375135,"(30, 40]"
1389,26465,NonResidential,Education,4083800835,LAKE UNION,47.66389,-122.33692,1.0,2,33300,K-12 School,K-12 School,no information,no information,92.0,77.30000305,0.0,335907.0,1258827.0,Compliant,2.08,106,0,1,0,0,1,1,0.0,78.93648721354157,21.063512786458432,92.31,0.0,0.0,100.0,0.0,33300.0,16650.0,11,1.8463371121298053,6.2026884237650615,"(100, 110]"
